0.125	0.06	0.115	0.115	0.06	0.06
0.123	0.058	0.115	0.115	0.06	0.06
0.121	0.056	0.115	0.115	0.06	0.06
0.119	0.054	0.115	0.115	0.06	0.06
0.117	0.052	0.115	0.115	0.06	0.06
0.115	0.05	0.115	0.115	0.06	0.06
0.113	0.048	0.115	0.115	0.06	0.06
0.111	0.046	0.115	0.115	0.06	0.06
0.109	0.044	0.115	0.115	0.06	0.06
0.107	0.042	0.115	0.115	0.06	0.06
0.105	0.04	0.115	0.115	0.06	0.06
0.103	0.038	0.115	0.115	0.06	0.06
0.101	0.036	0.115	0.115	0.06	0.06
0.099	0.034	0.115	0.115	0.06	0.06
0.097	0.032	0.115	0.115	0.06	0.06
0.095	0.03	0.115	0.115	0.06	0.06
0.093	0.028	0.115	0.115	0.06	0.06
0.091	0.026	0.115	0.115	0.06	0.06
0.091	0.026	0.115	0.115	0.06	0.06
0.093	0.028	0.115	0.115	0.06	0.06
0.095	0.03	0.115	0.115	0.06	0.06
0.097	0.032	0.115	0.115	0.06	0.06
0.099	0.034	0.115	0.115	0.06	0.06
0.101	0.036	0.115	0.115	0.06	0.06
0.103	0.038	0.115	0.115	0.06	0.06
0.105	0.04	0.115	0.115	0.06	0.06
0.107	0.042	0.115	0.115	0.06	0.06
0.109	0.044	0.115	0.115	0.06	0.06
0.111	0.046	0.115	0.115	0.06	0.06
0.113	0.048	0.115	0.115	0.06	0.06
0.115	0.05	0.115	0.115	0.06	0.06
0.117	0.052	0.115	0.115	0.06	0.06
0.119	0.054	0.115	0.115	0.06	0.06
0.121	0.056	0.115	0.115	0.06	0.06
0.123	0.058	0.115	0.115	0.06	0.06
